Quarter,Territorial authority,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
,  Timaru district,11000,11230,9380,83.5,10040,10270,8420,82,19190,2590,2840,14.1,1110,1360,207449400
,  Mackenzie district,11600,11970,9070,75.8,9240,9370,8670,92.5,1470,310,310,20.9,170,180,15901300
,  Waimate district,10520,10600,10580,99.8,10120,10120,10770,106.4,1950,430,430,22.2,240,230,19990100
,  Waitaki district,10370,10630,8190,77.1,9540,9730,7960,81.8,8520,1230,1680,16.6,510,960,87515000
,  Central Otago district,10100,10360,8690,83.9,9250,9500,7920,83.4,7650,1390,1460,18.5,730,800,75225900
,  Queenstown-Lakes district,10550,11130,8760,78.7,9190,9820,7300,74.3,15640,4870,2940,26.6,3050,1110,151707200
,  Dunedin city,11220,11580,7990,69,9990,10330,7080,68.5,51380,6110,6810,12.5,1960,2660,560439700
,  Clutha district,10850,11100,9450,85.1,10430,10650,9410,88.4,6570,1300,1540,21.3,670,910,69588300
,  Southland district,11370,11660,9560,82,10850,11240,9690,86.2,11080,2430,3660,26,1150,2380,124860200
,  Gore district,10010,10110,9660,95.6,9230,9420,8060,85.6,5360,1060,1320,21.8,460,710,52508100
,  Invercargill city,10940,11290,7810,69.2,9780,10070,6950,69,23860,2980,3290,13,1150,1450,256826000
Jun-11,Total territorial authority,12570,13150,10020,76.2,10850,11320,8640,76.3,1803550,312240,286650,16.7,161880,136290,21969460700
,  Far North district,9970,10360,8620,83.2,8960,9310,7630,82,16440,3190,3000,18.9,1770,1580,157276000
,  Whangarei district,11890,12390,9710,78.4,10500,10950,8190,74.8,27950,4370,4300,15.5,2230,2160,324097100
,  Kaipara district,10270,10720,8780,81.9,9300,9700,8020,82.7,5030,960,820,17.8,580,440,48543400
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,13820,14480,10900,75.3,11690,12190,9340,76.6,605150,99350,85620,15.5,49430,35700,8136656700
,  Thames-Coromandel district,9720,10070,8100,80.4,8570,8890,6770,76.2,8050,1260,1590,17.3,630,960,75750800
,  Hauraki district,10480,10840,9190,84.8,9240,9620,7790,81,5040,820,880,16.7,480,550,51567800
,  Waikato district,11880,12320,10350,84,10770,11010,9900,89.9,13240,2250,2280,17.1,1200,1240,150715400
,  Matamata-Piako district,11590,12060,9060,75.1,10430,10810,8320,77,11850,1750,2100,16.1,970,1330,135704000
,  Hamilton city,12580,13160,10640,80.9,11040,11540,9110,78.9,72940,12620,9630,15.6,6660,3660,889582700
,  Waipa district,10880,11390,8730,76.7,9960,10400,7890,75.9,14450,2320,2470,16.5,1290,1450,152552000
,  Otorohanga district,10860,11290,8760,77.6,10640,11080,8510,76.8,3090,480,470,15.3,260,250,32907400
,  South Waikato district,11940,12420,9990,80.4,10710,11170,9110,81.6,7620,1320,1010,15.7,750,450,87176800
,  Waitomo district (modified),10970,11370,9870,86.8,9810,10090,9000,89.2,3780,570,650,16,270,350,40515100
,  Taupo district (modified),10450,10940,8150,74.5,9440,9830,7280,74.1,12810,2170,2310,17.4,1050,1190,131823900
,  Western Bay of Plenty district,9880,10490,7690,73.3,8860,9500,7080,74.5,18130,9490,3560,43,7730,1800,151956600
,  Tauranga city,11580,12120,9010,74.3,10250,10710,7940,74.1,47230,8630,8090,17.8,4030,3490,525297600
,  Rotorua district,11200,11680,9170,78.5,9940,10330,7870,76.2,27470,4350,4460,16,2010,2120,298944800
,  Whakatane district (modified),10760,11470,8290,72.3,9270,9940,7740,77.9,13560,3880,2110,23.6,2900,1140,134946800
,  Kawerau district,15180,15940,9230,57.9,14170,15050,7150,47.5,2690,370,420,14.6,160,200,40216600
,  Opotiki district,9420,10030,7470,74.5,8420,9100,7230,79.5,3250,1210,620,31.1,930,340,27596700
,  Gisborne district,10540,11080,8360,75.5,9400,9830,7600,77.3,17340,3610,3890,21.4,1940,2220,173732300
,  Wairoa district,10110,10600,7250,68.4,9460,9890,5670,57.3,2920,520,580,18.5,290,350,27794300
,  Hastings district (modified),11390,12050,8770,72.8,10190,10780,8120,75.3,34090,6790,7810,21.1,3050,4070,375188900
,  Napier city,10640,11140,8350,75,9600,10040,7020,69.9,22420,3580,3470,15.8,1630,1530,232133900
,  Central Hawke's Bay district,10090,10530,9100,86.4,9720,10070,9420,93.6,5180,1210,1340,24.3,590,720,51851500
,  New Plymouth district,12510,12930,10030,77.6,10400,10770,8020,74.5,32420,4770,4470,14.3,2350,2050,400067200
,  Stratford district,9760,10350,7080,68.4,8630,9000,5490,61,2590,440,380,15.8,270,210,25254400
,  South Taranaki district,12470,12940,10140,78.4,11220,11550,9450,81.8,10710,1510,1950,15.8,820,1260,130320600
,  Ruapehu district (modified),10800,11320,8460,74.7,9760,10290,8000,77.8,4720,830,870,17.9,460,510,48884200
,  Wanganui district,10560,10980,8770,79.9,9640,9970,7650,76.7,16900,2510,2070,13.7,1370,920,174723800
,  Rangitikei district (modified),9870,10310,8060,78.2,9150,9540,7320,76.7,4820,840,910,18,450,520,45866000
,  Manawatu district,11130,11610,8720,75.1,10110,10630,8030,75.5,8410,1350,1220,15.4,700,570,90689800
,  Palmerston North city,11790,12330,9260,75.1,10450,10870,8320,76.5,43260,6340,5480,13.8,3070,2200,495838200
,  Tararua district,9940,10300,8220,79.8,8870,9260,7070,76.4,5170,920,1050,18.9,540,670,49547000
,  Horowhenua district,9600,9970,7820,78.4,8690,9040,6400,70.8,7720,1160,1160,15,610,610,72800500
,  Kapiti Coast district,9600,10060,7590,75.5,8570,9000,6390,71,11170,1710,1930,16.1,830,1050,105248600
,  Porirua city,11600,12150,8470,69.7,10450,10940,7440,68,14030,2110,2560,16.4,1130,1580,160058200
,  Upper Hutt city,11680,12210,9620,78.8,10430,10920,8670,79.4,10700,1530,1490,14.1,670,630,123776000
,  Lower Hutt city,12460,12910,10390,80.5,11000,11350,9060,79.8,41340,6060,5570,14.1,2920,2430,504360900
,  Wellington city,15580,16410,12130,73.9,13000,13730,10190,74.2,132280,22350,19000,15.8,11250,7890,2029394000
,  Masterton district,10070,10480,8540,81.5,9050,9380,7180,76.6,9270,1500,1470,16,710,680,89979100
,  Carterton district,10420,10700,7980,74.6,9700,9950,6710,67.4,2470,340,340,13.8,180,180,24773000
,  South Wairarapa district,8970,9340,6600,70.7,8200,8590,5620,65.4,2540,510,530,20.5,310,320,21829900
,  Tasman district,10220,10710,7750,72.4,9250,9750,7060,72.4,16150,3520,3480,21.7,1970,1930,158728800
,  Nelson city,11000,11560,8630,74.7,9670,10140,7480,73.8,23870,4340,3510,16.8,2310,1480,254813300
,  Marlborough district,10860,11360,8300,73.1,9880,10370,7440,71.8,18920,3600,3910,19.7,1580,1890,202345800
,  Kaikoura district,10120,10070,11410,113.3,8650,8710,9300,106.8,1470,330,330,22.6,210,200,14252600
,  Buller district,12760,13380,10800,80.7,11320,11960,9620,80.4,4620,1040,900,21.3,700,560,59029300
,  Grey district,11630,12000,9870,82.3,10500,10880,8740,80.3,6780,1040,860,14.2,570,390,77898700
,  Westland district,10720,11220,7800,69.5,9700,10280,7280,70.8,3070,440,690,17.7,190,440,32167500
,  Hurunui district,9370,9800,7600,77.6,8670,9100,7380,81.1,3580,830,800,22.9,440,400,32285300
,  Waimakariri district,10210,10660,7990,75,9220,9610,7550,78.6,10470,1810,1380,15.6,1070,630,103698800
,  Christchurch city (modified),12350,12830,9970,77.7,10800,11220,8830,78.7,172880,30740,32800,18.3,15470,17540,2068346300
,  Selwyn district,11610,12350,8830,71.5,10980,11460,8720,76.1,12040,2160,1900,17.1,1150,890,133948500
,  Ashburton district,11000,11470,8330,72.6,10500,10920,8300,76,13260,2160,2090,16.1,1100,1030,142112100
,  Timaru district,10830,11320,8110,71.6,9890,10380,6910,66.6,19430,3080,3210,16.2,1680,1800,204378400
,  Mackenzie district,10510,10980,7750,70.6,9200,9590,7030,73.3,1470,270,430,22.6,100,260,14794300
,  Waimate district,10060,10320,8960,86.8,9610,9860,8950,90.8,1960,350,340,17.8,200,200,19213100
,  Waitaki district,10610,11130,8250,74.1,9780,10260,7930,77.3,8960,1500,1490,16.8,700,690,95798600
,  Central Otago district,9950,10360,7800,75.3,9150,9600,6900,71.9,7730,1530,2610,25,720,1810,74742700
,  Queenstown-Lakes district,10450,10960,8090,73.8,9370,9850,7360,74.7,13700,3110,3810,24.7,1260,1960,137249600
,  Dunedin city,11230,11940,8260,69.2,9920,10560,6990,66.2,52080,8950,7020,15.6,5130,3210,562879600
,  Clutha district,10800,11330,8230,72.6,10550,10870,7620,70.1,6820,1240,1540,20,670,970,71634600
,  Southland district,11530,11870,10120,85.3,10960,11340,9480,83.6,12350,1850,3320,19.7,800,2280,141425100
,  Gore district,10190,10780,7060,65.5,9360,10030,5760,57.4,5590,840,1070,16.8,490,720,58431500
,  Invercargill city,11010,11540,8150,70.6,9850,10280,7160,69.7,24170,3670,3250,14.5,1900,1480,261345500
Mar-11,Total territorial authority,12480,12870,9730,75.6,10690,11040,8290,75.1,1777960,277280,309790,16.4,133290,165790,21349247000
,  Far North district,9750,10070,7540,74.9,8850,9220,6810,73.9,16240,2900,3550,19.5,1350,1990,152283400
,  Whangarei district,11830,12120,9490,78.3,10380,10690,7640,71.5,27880,3880,4740,15.3,1720,2580,318698700
,  Kaipara district,9960,10240,8420,82.2,9200,9500,7260,76.4,4930,770,1150,18.7,380,770,48065500
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,13710,14130,10800,76.4,11520,11860,9120,76.9,591360,88270,98220,15.6,42110,52060,7846377000
,  Thames-Coromandel district,9650,10120,7360,72.7,8500,8940,6290,70.4,8370,1540,1520,18.3,800,780,78877300
,  Hauraki district,10650,11050,7870,71.2,9070,9490,6110,64.4,5110,810,890,16.5,430,510,51990000
,  Waikato district,11730,12040,10580,87.9,10440,10780,9100,84.4,13220,2560,2980,20.7,1470,1890,148177000
,  Matamata-Piako district,11440,11720,8780,74.9,10450,10710,8450,78.9,12200,1580,1980,14.4,760,1160,133246000
,  Hamilton city,12430,12810,9190,71.7,10920,11250,7800,69.3,69960,9820,12110,15.4,4020,6310,843716300
,  Waipa district,10730,11200,7510,67.1,9880,10330,6670,64.6,14600,2370,2550,16.8,1290,1470,148791200
,  Otorohanga district,10890,11240,8450,75.2,10500,10790,8470,78.5,3080,470,750,19,220,500,33003300
,  South Waikato district,11710,12060,8720,72.3,10380,10730,7640,71.2,7310,960,1210,14.6,410,660,82821500
,  Waitomo district (modified),10820,11200,8270,73.8,9630,10000,7000,70,3860,730,700,18.4,400,370,39802700
,  Taupo district (modified),10730,11080,8780,79.2,9630,9950,7740,77.8,12950,2280,2320,17.7,1080,1110,134424800
,  Western Bay of Plenty district,9490,9820,7880,80.2,8730,9090,7160,78.8,12210,2850,3370,24.8,1400,1920,111597800
,  Tauranga city,11330,11630,9230,79.4,10000,10320,7560,73.3,46680,7690,8910,17.6,3380,4610,504779700
,  Rotorua district,11180,11540,8250,71.5,9840,10170,7230,71.1,27570,4350,4730,16.4,2060,2440,294968400
,  Whakatane district (modified),10860,11190,8520,76.1,9420,9730,7140,73.4,11790,1980,2190,17.5,900,1110,122170800
,  Kawerau district,16310,16710,10820,64.8,15090,15510,8310,53.6,2720,330,350,12.4,170,190,44675500
,  Opotiki district,9350,9700,7140,73.6,8190,8510,6200,72.9,2650,550,600,21.4,270,320,23145600
,  Gisborne district,10610,10940,8490,77.6,9400,9710,7370,75.9,17620,3840,4110,22.4,2030,2290,174335700
,  Wairoa district,10070,10150,9480,93.4,9680,9320,10220,109.7,2980,690,710,23.2,360,380,27613600
,  Hastings district (modified),11090,11590,8600,74.2,9950,10520,7750,73.7,35150,8710,6750,22.6,5060,3100,362297100
,  Napier city,10480,10810,7960,73.6,9490,9830,6880,70,22290,3540,3920,16.6,1650,2020,224971200
,  Central Hawke's Bay district,9870,10370,7910,76.3,9360,9890,8000,80.9,5310,1340,1130,23.7,880,680,49030200
,  New Plymouth district,12400,12720,9140,71.9,10290,10550,7520,71.3,32110,4300,4920,14.2,1780,2400,389813800
,  Stratford district,9750,9920,7990,80.5,8700,8930,6390,71.6,2520,320,460,14.9,150,300,24019600
,  South Taranaki district,11990,12440,8650,69.5,10500,11000,7630,69.4,11160,1390,1480,12.8,760,850,131952500
,  Ruapehu district (modified),10760,11120,8820,79.3,9630,9900,8080,81.6,4760,940,1800,26.5,400,1260,49268400
,  Wanganui district,10770,11000,8750,79.6,9630,9870,7490,75.9,16490,2180,2710,14.6,1040,1570,173693300
,  Rangitikei district (modified),9790,10140,7460,73.6,8980,9240,7700,83.3,4890,980,1120,21.2,580,720,46034000
,  Manawatu district,10650,10840,9200,84.9,9920,10060,8400,83.5,8300,1240,1520,16.3,650,930,85722100
,  Palmerston North city,11600,11930,8460,70.9,10260,10530,7260,69,42390,5380,7180,14.5,2160,3960,476969900
,  Tararua district,9700,10030,7210,71.9,8750,9050,6380,70.5,5270,840,1030,17.4,410,600,48651000
,  Horowhenua district,9500,9710,7970,82.1,8580,8780,7130,81.2,7720,1100,1580,16.9,570,1040,71644800
,  Kapiti Coast district,9600,9950,7040,70.8,8530,8850,5760,65.1,11390,1860,1920,16.6,970,1030,104063000
,  Porirua city,11700,12000,9350,77.9,10320,10590,8410,79.4,14490,1920,2410,14.7,870,1350,163091800
,  Upper Hutt city,11580,11880,9400,79.1,10150,10410,7550,72.5,10660,1630,1730,15.7,790,890,120720800
,  Lower Hutt city,12300,12590,9740,77.4,10760,11000,8220,74.7,40860,5100,6270,13.7,2140,3320,492685000
,  Wellington city,16080,16550,12090,73.1,13330,13760,10000,72.7,128900,18650,22390,15.7,8350,12090,2013463500
,  Masterton district,9790,10080,7160,71,8880,9150,6500,71,9240,1330,1640,15.8,610,930,86682000
,  Carterton district,9850,10070,7300,72.5,9230,9340,7040,75.4,2470,320,380,14,160,210,23344600
,  South Wairarapa district,8840,9210,6480,70.4,8060,8520,5340,62.7,2530,470,570,20.2,270,360,21400200
,  Tasman district,10330,10770,7940,73.7,9290,9730,7250,74.5,16230,3590,2980,20.6,2030,1430,157435700
,  Nelson city,10970,11360,7720,68,9710,10080,6740,66.9,22930,3490,3720,15.7,1520,1750,242926800
,  Marlborough district,10790,11150,8700,78,9790,10110,7630,75.5,19240,3660,4010,19.8,1620,1970,196225600
,  Kaikoura district,9280,9600,7870,82,8710,9090,7390,81.3,1460,290,330,20.8,140,190,13382300
,  Buller district,12590,12990,10450,80.5,11720,12220,9030,73.9,4480,770,620,15.7,410,260,56690500
,  Grey district,11450,11700,9530,81.5,10210,10480,8140,77.7,6640,1000,1100,15.8,520,630,73693400
,  Westland district,10600,11060,8260,74.7,9790,10350,7960,76.9,3310,630,530,17.9,330,230,33513300
,  Hurunui district,9360,9490,9540,100.5,8620,8940,7660,85.7,3540,790,800,22.4,440,450,31872100
,  Waimakariri district,10000,10310,7800,75.7,9010,9320,7140,76.6,10010,1400,1660,15.1,690,950,97548900
,  Christchurch city (modified),12070,12430,9140,73.5,10410,10740,7940,73.9,175030,25070,29930,15.5,11450,16310,2022800800
,  Selwyn district,11650,12020,8560,71.2,10500,10870,8150,75,11780,1940,2450,18.3,950,1450,132030300
,  Ashburton district,11040,11280,9480,84,10550,10730,9360,87.2,13190,2100,2270,16.5,1020,1180,140371700
,  Timaru district,10850,11150,8410,75.4,10020,10230,7960,77.8,19550,2830,2950,14.7,1480,1600,204048500
,  Mackenzie district,10420,11100,7980,71.9,9210,9860,7840,79.5,1630,380,270,20.7,220,120,16304200
,  Waimate district,9970,10370,6740,65,9390,9690,7170,74,1950,310,360,17,180,230,18660400
,  Waitaki district,10420,10690,8850,82.8,9630,9690,8810,90.9,8960,1570,1390,16.6,880,700,91460500
,  Central Otago district,9920,10310,8230,79.8,9070,9550,7550,79.1,8810,2360,1630,23.6,1470,740,84246000
,  Queenstown-Lakes district,10610,11230,8160,72.7,9530,10060,7680,76.3,14380,3570,3190,23.8,1630,1250,143528700
,  Dunedin city,11280,11600,8600,74.1,9950,10250,7270,70.9,50110,7160,9050,15.9,3160,5050,540721100
,  Clutha district,10810,10970,9060,82.6,10400,10400,8890,85.5,7120,1810,1250,22.2,1270,720,72128900
,  Southland district,11100,11530,9720,84.3,10610,11080,9370,84.6,13830,3580,2190,21.9,2530,1140,145461300
,  Gore district,10090,10080,10060,99.8,9680,9350,10420,111.4,5820,1190,900,18.4,750,450,55701600
,  Invercargill city,11170,11550,7510,65,9760,10080,7010,69.5,23750,3050,3670,14,1350,1960,255414000
Dec-10,Total territorial authority,13010,13400,10050,75,11170,11500,8650,75.2,1810470,264840,231480,13.8,125670,92310,22429366700
,  Far North district,10080,10440,7890,75.6,9120,9520,6910,72.6,16870,3060,2100,15.7,1820,860,159104600
,  Whangarei district,12380,12720,9840,77.4,10810,11150,8380,75.2,28640,3710,3330,12.4,1670,1290,339905800
,  Kaipara district,10770,11150,9230,82.8,9520,9980,7710,77.3,5330,1160,560,17,860,260,52396400
,  Rodney district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  North Shore city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Waitakere city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Manukau city,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Papakura district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Franklin district,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Auckland,14400,14850,10880,73.3,12070,12460,9210,73.9,601550,84750,75960,..,37150,28360,8329117800
,  Thames-Coromandel district,10170,10500,8240,78.5,8930,9300,6840,73.6,8340,1460,1020,15.3,840,400,79394700
,  Hauraki district,10650,11210,8100,72.3,9410,9960,6510,65.4,5180,1050,660,17.3,740,360,52816100
,  Waikato district,12370,12840,9570,74.5,10640,11070,8550,77.2,13500,3030,1630,18.9,2150,750,159563600
,  Matamata-Piako district,12330,12690,9590,75.6,10700,10980,8740,79.6,12590,1710,1400,12.5,920,610,147659000
,  Hamilton city,13120,13600,9530,70.1,11410,11840,8170,69,72330,9970,8590,13.1,4410,3030,895125000
,  Waipa district,11730,12150,8490,69.9,10400,10770,7680,71.3,14740,2460,1820,14.8,1400,760,160483800
,  Otorohanga district,11220,11510,9440,82,11090,11250,9270,82.4,3310,490,380,13.4,280,180,35281100
,  South Waikato district,12300,12710,9240,72.7,11240,11700,8500,72.7,7570,1080,920,13.3,510,360,88277100
,  Waitomo district (modified),11320,11610,9290,80,10120,10330,8170,79.1,3840,620,480,14.7,300,160,41314700
,  Taupo district (modified),11070,11450,8510,74.3,9920,10200,7780,76.3,12980,2200,1920,16,1080,800,135901200
,  Western Bay of Plenty district,9790,10220,7770,76,8960,9450,6570,69.5,12820,3040,3760,25.8,1430,2150,118847200
,  Tauranga city,11630,12080,8690,71.9,10380,10760,7750,72,47770,7890,6110,15,3960,2180,525452000
,  Rotorua district,11620,11970,9260,77.4,10240,10530,8040,76.4,27980,4040,3310,13.3,2020,1290,307323400
,  Whakatane district (modified),11290,11710,8450,72.2,9790,10200,7250,71.1,11980,1850,1890,15.6,940,980,127340900
,  Kawerau district,16280,16890,10730,63.5,14980,15610,7670,49.1,2750,290,250,9.8,130,100,45090000
,  Opotiki district,9710,10160,7230,71.2,8680,9010,6430,71.4,2690,490,590,19.6,240,340,24316400
,  Gisborne district,10940,11250,8440,75,9750,10080,7030,69.7,17870,3440,2850,17.9,1930,1340,181103900
,  Wairoa district,10350,10540,9360,88.8,9600,9700,9270,95.6,3000,740,550,22.3,450,260,28241100
,  Hastings district (modified),11600,11830,9950,84.1,10500,10760,8500,79,33170,6280,4530,16.8,3460,1710,355369200
,  Napier city,10880,11190,8590,76.8,9890,10160,7740,76.2,22670,3170,2670,12.9,1470,970,234861100
,  Central Hawke's Bay district,10410,10660,9210,86.4,9960,10110,9010,89.1,5080,1250,750,20.7,800,310,49048100
,  New Plymouth district,12570,12890,9720,75.4,10680,10940,8120,74.2,32720,4170,3520,11.9,1940,1280,400950300
,  Stratford district,10160,10400,9020,86.7,8960,9170,7480,81.6,2670,350,310,12.3,200,150,25330800
,  South Taranaki district,13790,14210,10480,73.8,11300,11710,9050,77.3,11270,1440,990,11,880,430,149576200
,  Ruapehu district (modified),11330,11700,8720,74.5,10400,10660,7920,74.3,5620,910,1690,21.6,410,1190,58301600
,  Wanganui district,10870,11080,8570,77.4,10010,10200,7440,72.9,17000,2060,1810,11.5,1040,790,177557900
,  Rangitikei district (modified),10360,10540,8930,84.7,9720,9920,7220,72.8,5020,990,720,17.5,670,400,48704100
,  Manawatu district,11320,11600,9360,80.7,10400,10670,8470,79.4,8600,1230,970,13,730,470,92132300
,  Palmerston North city,12160,12490,9020,72.2,10750,11020,7940,72.1,44220,5060,4810,11.2,1870,1630,509928400
,  Tararua district,10530,10780,8960,83.1,9190,9380,8020,85.5,5470,870,600,13.8,550,280,53002400
,  Horowhenua district,10080,10230,9110,89.1,9100,9290,7200,77.5,8160,1180,920,13.1,660,400,78022600
,  Kapiti Coast district,10190,10420,8160,78.3,9040,9300,6690,71.9,11460,1550,1370,12.8,780,600,112266700
,  Porirua city,12320,12590,9920,78.8,11080,11400,8430,74,14950,1710,1540,11,750,580,175759500
,  Upper Hutt city,11950,12250,9590,78.3,10750,11000,8300,75.5,10740,1240,1100,11,590,450,123272500
,  Lower Hutt city,12820,13070,10440,79.9,11290,11570,8870,76.7,42490,5160,4600,11.6,2260,1700,526941200
,  Wellington city,16410,16870,12560,74.5,13500,13890,10320,74.3,132270,16020,16100,12.1,5850,5930,2083471100
,  Masterton district,10310,10570,8430,79.8,9260,9490,7190,75.8,9570,1310,1050,12.5,690,430,93514000
,  Carterton district,10570,10830,8350,77.1,10000,10210,8150,79.8,2520,330,270,12.1,190,130,25239000
,  South Wairarapa district,9280,9620,7240,75.3,8500,8800,5730,65.1,2630,550,400,18.8,340,180,22565300
,  Tasman district,10580,10940,8120,74.2,9590,9920,7440,75,15600,3070,2310,17.7,1790,1040,155309000
,  Nelson city,11460,11760,8700,74,10100,10340,7560,73.1,23090,3180,2950,13.3,1320,1090,251079600
,  Marlborough district,11080,11460,8520,74.4,10060,10400,7420,71.4,19580,4030,4460,21.4,1790,2230,200581000
,  Kaikoura district,9530,10060,6810,67.7,8620,9110,6310,69.3,1500,390,180,20.8,280,70,12912100
,  Buller district,13540,13870,12230,88.2,12110,12460,11020,88.4,4340,700,540,14.4,340,190,56091500
,  Grey district,12200,12530,9120,72.8,10660,11040,8300,75.2,6740,840,770,12,340,270,82785000
,  Westland district,11400,11860,8430,71.1,10080,10590,7650,72.2,3230,630,390,16.5,380,130,34622700
,  Hurunui district,9630,9900,8360,84.4,9010,9250,8130,87.9,3560,760,690,20.6,400,330,33222500
,  Waimakariri district,10430,10680,8080,75.7,9560,9800,7610,77.7,10360,1520,1320,13.9,840,630,102441400
,  Christchurch city (modified),12380,12750,9320,73.1,10800,11140,8320,74.7,180020,24480,20480,12.6,11310,7310,2121518000
,  Selwyn district,12090,12440,9850,79.2,11220,11520,8780,76.2,12240,1930,1630,14.7,1000,700,138037900
,  Ashburton district,11270,11490,10190,88.7,10710,10920,9860,90.3,13310,2370,2290,17.6,1270,1190,143976700
,  Timaru district,11350,11600,10050,86.6,10270,10430,9530,91.4,19730,2970,2140,13.2,1690,860,214206600
,  Mackenzie district,10730,11300,7530,66.6,9510,9950,7460,75,1540,390,300,22.8,230,130,15322900
,  Waimate district,10410,10790,8660,80.3,9870,10200,8840,86.7,2000,350,300,16.4,210,160,19767000
,  Waitaki district,10950,11080,10990,99.2,10190,10400,9030,86.8,8810,1600,1070,15.6,940,420,93119200
,  Central Otago district,10180,10470,8700,83.1,9420,9700,7640,78.8,8060,1830,1430,20.7,1060,650,78216800
,  Queenstown-Lakes district,10840,11320,8760,77.4,9620,10050,7860,78.2,13960,3250,4800,27.3,1420,2970,144131700
,  Dunedin city,11760,12050,8910,73.9,10390,10660,7870,73.8,51930,6360,6430,12.3,2540,2610,576344800
,  Clutha district,11160,11380,10690,93.9,10660,10830,10460,96.6,6650,1420,990,18.8,900,480,68794900
,  Southland district,11860,12250,10390,84.8,11260,11550,9990,86.5,12440,3330,1770,21.8,2240,670,139497500
,  Gore district,10430,10630,9210,86.6,9710,9800,9050,92.4,5520,1080,830,17.7,560,310,55554700
,  Invercargill city,11250,11540,8790,76.2,10120,10400,7680,73.9,24360,3050,2620,11.7,1440,1010,261962900
Sep-10,Total territorial authority,12310,12680,10060,79.3,10620,10950,8620,78.7,1777110,255840,272750,14.8,120090,137000,21262568900
,  Far North district,9520,9700,8310,85.7,8600,8830,7160,81.1,15890,2280,2920,16,1040,1680,147468700
,  Whangarei district,11580,11860,10020,84.5,10300,10560,8540,80.9,28260,3860,3960,13.8,1910,2020,322329100
,  Kaipara district,9920,10100,9230,91.4,9200,9420,8490,90.1,4730,680,940,16.7,360,620,45432400
,  Rodney district,10430,10600,9710,91.6,9400,9650,8080,83.7,21130,2930,3060,14.1,1570,1700,216084700
,  North Shore city,12870,13260,10710,80.8,11180,11540,8860,76.8,81060,10940,11970,14,4810,5840,1012334700
,  Waitakere city,11150,11450,9240,80.7,10170,10470,8000,76.4,44720,5900,5670,13,2920,2690,490713900
,  Auckland city,14780,15270,11940,78.2,12230,12590,10000,79.4,294730,45830,44540,15.4,21960,20660,4230348200
,  Manukau city,13170,13580,10150,74.7,11380,11700,8840,75.6,122390,15990,14830,12.7,7850,6680,1589192400
,  Papakura district,11770,12030,10140,84.3,10920,11180,8970,80.2,14730,1800,1890,12.5,820,910,169796300
,  Franklin district,11240,11630,8600,74,9530,9830,7460,75.9,16580,2050,2360,13.2,1050,1350,182194600
,  Auckland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,  Thames-Coromandel district,9410,9580,8440,88.1,8380,8610,6990,81.2,7910,1060,1460,15.5,530,930,72336600
,  Hauraki district,10410,10640,9280,87.2,9300,9420,8690,92.3,4670,660,1070,17.8,340,750,48821900
,  Waikato district,12600,12980,10140,78.1,11090,11360,9500,83.6,11110,1670,1880,15.8,760,970,135186800
,  Matamata-Piako district,11230,11570,9030,78.1,10240,10540,8760,83.1,12280,1850,1840,15,1010,1000,133900900
,  Hamilton city,12160,12610,9380,74.4,10770,11150,8280,74.3,69540,9700,10280,14.3,4060,4650,817666800
,  Waipa district,10690,10940,9160,83.7,10000,10210,8490,83.2,14090,2200,2160,15.5,1180,1140,145001900
,  Otorohanga district,11250,11340,9820,86.6,10880,10840,10100,93.2,3200,510,490,15.8,270,240,35329600
